ZIPCODE,PLACE NAME,COUNTRY,STATE CODE,STATE,CITY,DISTRICT,VILLAGE
440036,NAGPUR-440036,IN,MH,MAHARASHTRA,NAGPUR,,
517646,CHITTOOR - 517646,IN,AP,ANDHRA PRADESH,CHITTOOR,,
736202,JALPAIGURI-736202,IN,WB,WEST BENGAL,JALPAIGURI,,
736203,JALPAIGURI-736203,IN,WB,WEST BENGAL,JALPAIGURI,,
736204,COOCH BEHAR-736204,IN,WB,WEST BENGAL,COOCH BEHAR,,
736205,JALPAIGURI-736205,IN,WB,WEST BENGAL,JALPAIGURI,,
736206,JALPAIGURI-736206,IN,WB,WEST BENGAL,JALPAIGURI,,
736207,JALPAIGURI-736207,IN,WB,WEST BENGAL,JALPAIGURI,,
736208,JALPAIGURI-736208,IN,WB,WEST BENGAL,JALPAIGURI,,
736257,COOCH BEHAR-736257,IN,WB,WEST BENGAL,COOCH BEHAR,,
737101,EAST SIKKIM-737101,IN,SK,SIKKIM,EAST SIKKIM,,
737102,EAST SIKKIM-737102,IN,SK,SIKKIM,EAST SIKKIM,,
737103,EAST SIKKIM-737103,IN,SK,SIKKIM,EAST SIKKIM,,
737106,N.SIKKIM-737106,IN,SK,SIKKIM,N.SIKKIM,,
737107,DIBRUGARH-737107,IN,AS,ASSAM,DIBRUGARH,,
737111,WEST SIKKIM-737111,IN,SK,SIKKIM,WEST SIKKIM,,
737112,WEST SIKKIM-737112,IN,SK,SIKKIM,WEST SIKKIM,,
737113,WEST SIKKIM-737113,IN,SK,SIKKIM,WEST SIKKIM,,
737114,WEST SIKKIM-737114,IN,SK,SIKKIM,WEST SIKKIM,,
737116,N.SIKKIM-737116,IN,SK,SIKKIM,N.SIKKIM,,
737117,N.SIKKIM-737117,IN,SK,SIKKIM,N.SIKKIM,,
737118,SIKKIM-737118,IN,WB,WEST BENGAL,SIKKIM,,
737119,SIKKIM-737119,IN,WB,WEST BENGAL,SIKKIM,,
737120,N.SIKKIM-737120,IN,SK,SIKKIM,N.SIKKIM,,
737121,S.SIKKIM-737121,IN,SK,SIKKIM,S.SIKKIM,,
737122,SIKKIM-737122,IN,SK,SIKKIM,SIKKIM,,
737126,S.SIKKIM-737126,IN,SK,SIKKIM,S.SIKKIM,,
737127,WEST SIKKIM-737127,IN,SK,SIKKIM,WEST SIKKIM,,
